선수A,종족A,선수B,종족B,맞대결매치,A매치승,A매치패,A세트승,A세트패,A세트승률
김윤중,프로토스,유진우,저그,1,1,0,1,0,100.0
김윤중,프로토스,윤용태,프로토스,1,1,0,1,0,100.0
김윤중,프로토스,이성은,테란,1,1,0,1,0,100.0
김윤중,프로토스,이영한,저그,1,0,1,0,1,0.0
김윤중,프로토스,전태양,테란,1,1,0,1,0,100.0
김윤중,프로토스,정민기,테란,1,0,1,0,1,0.0
김윤중,프로토스,조일장,저그,1,1,0,1,0,100.0
김윤중,프로토스,진영화,프로토스,1,0,1,0,1,0.0
김윤중,프로토스,한두열,저그,1,1,0,1,0,100.0
김윤환,저그,김정우,저그,1,0,1,0,1,0.0
김윤환,저그,이재호,테란,1,0,1,0,1,0.0
김윤환,저그,김지성,테란,1,0,1,0,1,0.0
김윤환,저그,장윤철,프로토스,1,1,0,1,0,100.0
김윤환,저그,유영진,테란,1,0,1,0,1,0.0
김윤환,저그,박성균,테란,1,0,1,0,1,0.0
김윤환,저그,송병구,프로토스,1,0,1,0,1,0.0
김윤환,저그,박재혁,저그,1,0,1,0,1,0.0
김윤환,저그,유승곤,테란,1,0,1,0,1,0.0
김재현,테란,조기석,테란,1,1,0,1,0,100.0
김재현,테란,이영한,저그,1,0,1,0,1,0.0
김재현,테란,김재훈,프로토스,1,0,1,0,1,0.0
김재현,테란,박성준,저그,1,0,1,0,1,0.0
김재현,테란,심대성,저그,1,1,0,1,0,100.0
김재훈,프로토스,장윤철,프로토스,1,0,1,0,1,0.0
김재훈,프로토스,도재욱,프로토스,1,0,1,0,1,0.0
김재훈,프로토스,박성균,테란,1,0,1,0,1,0.0
김재훈,프로토스,이제동,저그,1,0,1,0,1,0.0
김재훈,프로토스,박성준,저그,1,1,0,1,0,100.0
김정우,저그,박상현,저그,1,1,0,1,0,100.0
김정우,저그,박성준,저그,1,1,0,1,0,100.0
김정우,저그,박세정,프로토스,1,1,0,1,0,100.0
김정우,저그,서문지훈,저그,1,1,0,1,0,100.0
김정우,저그,송병구,프로토스,1,1,0,1,0,100.0
김정우,저그,염보성,테란,1,1,0,1,0,100.0
김정우,저그,윤찬희,테란,1,1,0,1,0,100.0
김정우,저그,이영한,저그,1,1,0,1,0,100.0
김정우,저그,이제동,저그,1,1,0,1,0,100.0
김정우,저그,최호선,테란,1,0,1,0,1,0.0
김지성,테란,원선재,프로토스,1,1,0,1,0,100.0
김지성,테란,윤용태,프로토스,1,1,0,1,0,100.0
김지성,테란,이영웅,테란,1,0,1,0,1,0.0
김지성,테란,장윤철,프로토스,1,1,0,1,0,100.0
김지성,테란,한두열,저그,1,1,0,1,0,100.0
김지성,테란,홍덕,프로토스,1,1,0,1,0,100.0
김태영,테란,박상현,저그,1,1,0,1,0,100.0
김태영,테란,정윤종,프로토스,1,0,1,0,1,0.0
김태영,테란,정영재,테란,1,1,0,1,0,100.0
김태영,테란,박성균,테란,1,0,1,0,1,0.0
김태영,테란,송병구,프로토스,1,1,0,1,0,100.0
김태영,테란,이경민,프로토스,1,0,1,0,1,0.0
김태영,테란,유진우,저그,1,1,0,1,0,100.0
김태영,테란,임진묵,테란,1,1,0,1,0,100.0
김택용,프로토스,유영진,테란,1,0,1,0,1,0.0
김택용,프로토스,박지훈,프로토스,1,1,0,1,0,100.0
김택용,프로토스,배성흠,저그,1,1,0,1,0,100.0
김택용,프로토스,신상문,테란,1,0,1,0,1,0.0
김택용,프로토스,유진우,저그,1,1,0,1,0,100.0
김택용,프로토스,이경민,프로토스,1,0,1,0,1,0.0
김택용,프로토스,이영웅,테란,1,1,0,1,0,100.0
김택용,프로토스,이예훈,저그,1,1,0,1,0,100.0
김택용,프로토스,인치호,저그,1,1,0,1,0,100.0
김택용,프로토스,전태양,테란,1,1,0,1,0,100.0
김택용,프로토스,한상봉,저그,1,1,0,1,0,100.0
김현우,저그,이재호,테란,1,1,0,1,0,100.0
김현우,저그,도재욱,프로토스,1,0,1,0,1,0.0
도재욱,프로토스,서문지훈,저그,1,1,0,1,0,100.0
도재욱,프로토스,신상문,테란,1,0,1,0,1,0.0
도재욱,프로토스,유진우,저그,1,1,0,1,0,100.0
도재욱,프로토스,윤용태,프로토스,1,0,1,0,1,0.0
도재욱,프로토스,윤종현,테란,1,1,0,1,0,100.0
도재욱,프로토스,이영한,저그,1,1,0,1,0,100.0
도재욱,프로토스,진영화,프로토스,1,1,0,1,0,100.0
문태호,테란,정윤종,프로토스,1,0,1,0,1,0.0
박상현,저그,박성균,테란,1,0,1,0,1,0.0
박상현,저그,박준오,저그,1,1,0,1,0,100.0
박상현,저그,윤수철,프로토스,1,1,0,1,0,100.0
박상현,저그,윤찬희,테란,1,1,0,1,0,100.0
박상현,저그,임홍규,저그,1,1,0,1,0,100.0
박상현,저그,홍덕,프로토스,1,1,0,1,0,100.0
박상현,저그,황병영,테란,1,1,0,1,0,100.0
박성균,테란,이재호,테란,1,0,1,0,1,0.0
박성균,테란,정윤종,프로토스,1,0,1,0,1,0.0
박성균,테란,박재현,프로토스,1,1,0,1,0,100.0
박성균,테란,박준오,저그,1,1,0,1,0,100.0
박성균,테란,박지수,테란,1,0,1,0,1,0.0
박성균,테란,변형태,테란,1,1,0,1,0,100.0
박성균,테란,손경훈,프로토스,1,0,1,0,1,0.0
박성균,테란,윤용태,프로토스,1,1,0,1,0,100.0
박성균,테란,이영한,저그,1,1,0,1,0,100.0
박성균,테란,이예훈,저그,1,1,0,1,0,100.0
박성균,테란,이제동,저그,1,0,1,0,1,0.0
박성균,테란,진영화,프로토스,1,1,0,1,0,100.0
박성균,테란,최영현,프로토스,1,1,0,1,0,100.0
박성균,테란,최호선,테란,1,1,0,1,0,100.0
박성균,테란,한두열,저그,1,1,0,1,0,100.0
박성균,테란,황병영,테란,1,0,1,0,1,0.0
박성준,저그,유영진,테란,1,1,0,1,0,100.0
박성준,저그,심대성,저그,1,1,0,1,0,100.0
박세정,프로토스,서문지훈,저그,1,0,1,0,1,0.0
박재혁,저그,장윤철,프로토스,1,0,1,0,1,0.0
박재혁,저그,진영화,프로토스,1,0,1,0,1,0.0
박재현,프로토스,조기석,테란,1,0,1,0,1,0.0
박준오,저그,이영호,테란,1,0,1,0,1,0.0
박준오,저그,이재호,테란,1,0,1,0,1,0.0
박준오,저그,임홍규,저그,1,1,0,1,0,100.0
박준오,저그,장윤철,프로토스,1,1,0,1,0,100.0
박준오,저그,조기석,테란,1,1,0,1,0,100.0
박준오,저그,이제동,저그,1,0,1,0,1,0.0
박준오,저그,송병구,프로토스,1,0,1,0,1,0.0
박준오,저그,염보성,테란,1,0,1,0,1,0.0
박준오,저그,윤찬희,테란,1,1,0,1,0,100.0
박준오,저그,이경민,프로토스,1,1,0,1,0,100.0
박준오,저그,하늘,프로토스,1,1,0,1,0,100.0
박지호,프로토스,송병구,프로토스,1,1,0,1,0,100.0
박지호,프로토스,염보성,테란,1,0,1,0,1,0.0
박지호,프로토스,진영화,프로토스,1,0,1,0,1,0.0
박지훈,프로토스,이예훈,저그,1,0,1,0,1,0.0
방태수,저그,조일장,저그,1,1,0,1,0,100.0
배병우,저그,최호선,테란,1,1,0,1,0,100.0
배성흠,저그,유영진,테란,1,0,1,0,1,0.0
배호연,테란,변현제,프로토스,1,0,1,0,1,0.0
배호연,테란,한두열,저그,1,0,1,0,1,0.0
변현제,프로토스,윤찬희,테란,1,0,1,0,1,0.0
변현제,프로토스,이영한,저그,1,1,0,1,0,100.0
변현제,프로토스,이창우,저그,1,1,0,1,0,100.0
변현제,프로토스,임진묵,테란,1,1,0,1,0,100.0
변현제,프로토스,정윤종,프로토스,1,0,1,0,1,0.0
변현제,프로토스,진영화,프로토스,1,1,0,1,0,100.0
변현제,프로토스,한두열,저그,1,1,0,1,0,100.0
변형태,테란,조일장,저그,1,0,1,0,1,0.0
변형태,테란,최영현,프로토스,1,1,0,1,0,100.0
서문지훈,저그,이재호,테란,1,0,1,0,1,0.0
서문지훈,저그,장윤철,프로토스,1,1,0,1,0,100.0
서문지훈,저그,조기석,테란,1,0,1,0,1,0.0
서문지훈,저그,이제동,저그,1,1,0,1,0,100.0
서문지훈,저그,염보성,테란,1,0,1,0,1,0.0
서문지훈,저그,윤찬희,테란,1,0,1,0,1,0.0
손경훈,프로토스,이재호,테란,1,1,0,1,0,100.0
송병구,프로토스,정윤종,프로토스,1,0,1,0,1,0.0
송병구,프로토스,조일장,저그,1,0,1,0,1,0.0
송병구,프로토스,최호선,테란,1,0,1,0,1,0.0
송병구,프로토스,신상문,테란,1,1,0,1,0,100.0
송병구,프로토스,유진우,저그,1,1,0,1,0,100.0
송병구,프로토스,윤용태,프로토스,1,1,0,1,0,100.0
송병구,프로토스,윤찬희,테란,1,0,1,0,1,0.0
송병구,프로토스,이경민,프로토스,1,1,0,1,0,100.0
송병구,프로토스,한두열,저그,1,1,0,1,0,100.0
신상문,테란,정영재,테란,1,1,0,1,0,100.0
신상문,테란,이제동,저그,1,0,1,0,1,0.0
신상문,테란,황병영,테란,1,1,0,1,0,100.0
신상문,테란,윤찬희,테란,1,1,0,1,0,100.0
신상문,테란,유진우,저그,1,0,1,0,1,0.0
신상문,테란,한상봉,저그,1,0,1,0,1,0.0
염보성,테란,이재호,테란,1,0,1,0,1,0.0
염보성,테란,이경민,프로토스,1,1,0,1,0,100.0
염보성,테란,이영웅,테란,1,0,1,0,1,0.0
염보성,테란,정윤성,프로토스,1,1,0,1,0,100.0
오진식,저그,정영재,테란,1,0,1,0,1,0.0
원선재,프로토스,유영진,테란,1,0,1,0,1,0.0
원지훈,프로토스,조기석,테란,1,0,1,0,1,0.0
원지훈,프로토스,황병영,테란,1,1,0,1,0,100.0
원지훈,프로토스,윤찬희,테란,1,0,1,0,1,0.0
원지훈,프로토스,이성은,테란,1,1,0,1,0,100.0
유승곤,테란,장윤철,프로토스,1,0,1,0,1,0.0
유승곤,테란,윤찬희,테란,1,1,0,1,0,100.0
유영진,테란,이예훈,저그,1,1,0,1,0,100.0
유영진,테란,이윤열,테란,1,0,1,0,1,0.0
유영진,테란,이제동,저그,1,0,1,0,1,0.0
유영진,테란,인치호,저그,1,1,0,1,0,100.0
유영진,테란,정경두,프로토스,1,1,0,1,0,100.0
유영진,테란,한두열,저그,1,1,0,1,0,100.0
유진우,저그,조기석,테란,1,1,0,1,0,100.0
유진우,저그,윤용태,프로토스,1,0,1,0,1,0.0
윤수철,프로토스,정영재,테란,1,1,0,1,0,100.0
윤용태,프로토스,이영호,테란,1,0,1,0,1,0.0
윤용태,프로토스,이재호,테란,1,0,1,0,1,0.0
윤용태,프로토스,정영재,테란,1,0,1,0,1,0.0
윤용태,프로토스,조기석,테란,1,1,0,1,0,100.0
윤용태,프로토스,이영한,저그,1,0,1,0,1,0.0
윤용태,프로토스,한두열,저그,1,1,0,1,0,100.0
윤종현,테란,최호선,테란,1,0,1,0,1,0.0
윤진규,저그,최호선,테란,1,1,0,1,0,100.0
윤찬희,테란,이영호,테란,1,0,1,0,1,0.0
윤찬희,테란,조일장,저그,1,0,1,0,1,0.0
윤찬희,테란,장윤철,프로토스,1,0,1,0,1,0.0
윤찬희,테란,조기석,테란,1,0,1,0,1,0.0
윤찬희,테란,이성은,테란,1,1,0,1,0,100.0
윤찬희,테란,이영웅,테란,1,1,0,1,0,100.0
윤찬희,테란,정경두,프로토스,1,1,0,1,0,100.0
윤찬희,테란,진영화,프로토스,1,1,0,1,0,100.0
윤찬희,테란,한두열,저그,1,1,0,1,0,100.0
윤찬희,테란,홍덕,프로토스,1,0,1,0,1,0.0
이경민,프로토스,이예훈,저그,1,0,1,0,1,0.0
이경민,프로토스,이윤열,테란,1,1,0,1,0,100.0
이경민,프로토스,임진묵,테란,1,1,0,1,0,100.0
이경민,프로토스,정민기,테란,1,1,0,1,0,100.0
이성은,테란,장윤철,프로토스,1,0,1,0,1,0.0
이영웅,테란,이영호,테란,1,0,1,0,1,0.0
이영웅,테란,이재호,테란,1,0,1,0,1,0.0
이영웅,테란,정영재,테란,1,1,0,1,0,100.0
이영웅,테란,조기석,테란,1,1,0,1,0,100.0
이영웅,테란,임진묵,테란,1,0,1,0,1,0.0
이영웅,테란,전태양,테란,1,1,0,1,0,100.0
이영한,저그,정영재,테란,1,0,1,0,1,0.0
이영한,저그,하늘,프로토스,1,1,0,1,0,100.0
이영한,저그,홍덕,프로토스,1,1,0,1,0,100.0
이영호,테란,이예준,저그,1,1,0,1,0,100.0
이영호,테란,임진묵,테란,1,1,0,1,0,100.0
이영호,테란,조기석,테란,1,1,0,1,0,100.0
이영호,테란,진영화,프로토스,1,1,0,1,0,100.0
이예준,저그,진영화,프로토스,1,0,1,0,1,0.0
이예훈,저그,정영재,테란,1,0,1,0,1,0.0
이예훈,저그,황병영,테란,1,1,0,1,0,100.0
이예훈,저그,임진묵,테란,1,1,0,1,0,100.0
이예훈,저그,진영화,프로토스,1,0,1,0,1,0.0
이윤열,테란,임홍규,저그,1,0,1,0,1,0.0
이재호,테란,정영재,테란,1,1,0,1,0,100.0
이재호,테란,하늘,프로토스,1,1,0,1,0,100.0
이재호,테란,한두열,저그,1,1,0,1,0,100.0
이재호,테란,홍덕,프로토스,1,1,0,1,0,100.0
이제동,저그,정윤종,프로토스,1,0,1,0,1,0.0
이제동,저그,임홍규,저그,1,0,1,0,1,0.0
이제동,저그,전태양,테란,1,0,1,0,1,0.0
이제동,저그,정민기,테란,1,1,0,1,0,100.0
이제동,저그,진영화,프로토스,1,1,0,1,0,100.0
이제동,저그,최호선,테란,1,0,1,0,1,0.0
이창우,저그,최호선,테란,1,0,1,0,1,0.0
임진묵,테란,임홍규,저그,1,1,0,1,0,100.0
임진묵,테란,장윤철,프로토스,1,0,1,0,1,0.0
임진묵,테란,현지섭,테란,1,1,0,1,0,100.0
임홍규,저그,최호선,테란,1,1,0,1,0,100.0
장윤철,프로토스,정영재,테란,1,1,0,1,0,100.0
장윤철,프로토스,정민기,테란,1,1,0,1,0,100.0
장윤철,프로토스,한두열,저그,1,0,1,0,1,0.0
장윤철,프로토스,현지섭,테란,1,1,0,1,0,100.0
정민기,테란,정윤종,프로토스,1,0,1,0,1,0.0
정영재,테란,정윤종,프로토스,1,0,1,0,1,0.0
정윤성,프로토스,조일장,저그,1,0,1,0,1,0.0
정윤종,프로토스,최호선,테란,1,0,1,0,1,0.0
조기석,테란,황병영,테란,1,0,1,0,1,0.0
진영화,프로토스,최호선,테란,1,0,1,0,1,0.0
최호선,테란,홍덕,프로토스,1,1,0,1,0,100.0
