ASL,,,,,,,,,,,,,
경기번호,구분,선수명,종족,승/패,MAP,승/패,종족,선수명,,,,,
374,,김민철,Z,패,글래디에이터,승,Z,조일장,,,,,
375,,김민철,Z,승,투혼,패,Z,조일장,,,,,
376,,김민철,Z,패,크로싱필드,승,Z,조일장,,,,,
377,,김민철,Z,승,골드러시,패,Z,조일장,,,,,
378,,김민철,Z,패,글래디에이터,승,Z,조일장,,,,,
379,,김택용,P,승,골드러시,패,Z,박준오,,,,,
380,,김택용,P,승,크로싱필드,패,Z,박준오,,,,,
381,,김택용,P,승,글래디에이터,패,Z,박준오,,,,,
382,,이영호,T,승,골드러시,패,T,박성균,,,,,
383,,이영호,T,승,크로싱필드,패,T,박성균,,,,,
384,,이영호,T,승,글래디에이터,패,T,박성균,,,,,
385,"ASL Season 4
4강",임홍규,Z,패,골드러시,승,Z,조일장,,,,,
386,,임홍규,Z,승,글래디에이터,패,Z,조일장,,,,,
387,,임홍규,Z,승,투혼,패,Z,조일장,,,,,
388,,임홍규,Z,패,크로싱필드,승,Z,조일장,,,,,
389,,임홍규,Z,패,골드러시,승,Z,조일장,,,,,
390,,김택용,P,패,글래디에이터,승,T,이영호,,,,,
391,,김택용,P,패,투혼,승,T,이영호,,,,,
392,,김택용,P,승,크로싱필드,패,T,이영호,,,,,
393,,김택용,P,패,골드러시,승,T,이영호,,,,,
394,"ASL Season 4
3-4위전",임홍규,Z,패,투혼,승,P,김택용,,,,,
395,,임홍규,Z,승,크로싱필드,패,P,김택용,,,,,
396,,임홍규,Z,패,골드러시,승,P,김택용,,,,,
397,,임홍규,Z,패,글래디에이터,승,P,김택용,,,,,
398,"ASL Season 4
결승전",조일장,Z,패,크로싱필드,승,T,이영호,,,,,
399,,조일장,Z,패,골드러시,승,T,이영호,,,,,
400,,조일장,Z,승,글래디에이터,패,T,이영호,,,,,
401,,조일장,Z,패,투혼,승,T,이영호,,,,,
402,"ASL Season 5
와일드카드",정윤종,P,승,글래디에이터,패,Z,박준오,,,,,
403,,정윤종,P,승,투혼,패,Z,박준오,,,,,
404,,박성균,T,패,매치포인트,승,Z,김민철,,,,,
405,,박성균,T,패,서킷브레이커,승,Z,김민철,,,,,
406,,정윤종,P,패,서킷브레이커,승,Z,김민철,,,,,
407,,정윤종,P,승,투혼,패,Z,김민철,,,,,
408,,정윤종,P,승,매치포인트,패,Z,김민철,,,,,
409,,정윤종,P,승,글래디에이터,패,Z,김민철,,,,,
410,"ASL Season 5
24강",김윤중,P,패,스파클,승,P,하늘,,,,,
411,,이영한,Z,승,스파클,패,T,이재호,,,,,
412,,이영한,Z,승,트랜지스터,패,P,하늘,,,,,
413,,김윤중,P,승,트랜지스터,패,T,이재호,,,,,
414,,김윤중,P,승,글래디에이터,패,P,하늘,,,,,
415,,김정우,Z,패,스파클,승,P,이경민,,,,,
416,,김승현,P,패,스파클,승,P,송병구,,,,,
417,,이경민,P,패,트랜지스터,승,P,송병구,,,,,
418,,김승현,P,패,트랜지스터,승,Z,김정우,,,,,
419,,김정우,Z,승,글래디에이터,패,P,이경민,,,,,
420,,도재욱,P,패,스파클,승,Z,김윤환,,,,,
421,,박성균,T,승,스파클,패,T,유영진,,,,,
